Team,Year,Matches,Wins,Win_Percentage
Liverpool,2016,38,18.0,0.47368421052631576
Liverpool,2017,35,16.0,0.45714285714285713
Liverpool,2018,49,31.0,0.6326530612244898
Liverpool,2019,57,42.0,0.7368421052631579
Liverpool,2020,57,40.0,0.7017543859649122
Liverpool,2021,58,27.0,0.46551724137931033
Liverpool,2022,55,33.0,0.6
Liverpool,2023,56,30.0,0.5357142857142857
Liverpool,2024,68,49.0,0.7205882352941176
Liverpool,2025,33,23.0,0.696969696969697
Liverpool,2026,24,17.0,0.7083333333333334
Liverpool,2027,13,5.0,0.38461538461538464
Liverpool,2028,20,10.0,0.5
Liverpool,2029,18,12.0,0.6666666666666666
Luton,2023,19,4.0,0.21052631578947367
Luton,2024,19,2.0,0.10526315789473684
Man City,1930,13,6.0,0.46153846153846156
Man City,1931,13,5.0,0.38461538461538464
Man City,2000,21,5.0,0.23809523809523808
Man City,2001,23,14.0,0.6086956521739131
Man City,2002,36,14.0,0.3888888888888889
